Lat,Lon,Adjusted Rad
40.8917,-98.42003,458.7312543006956
40.89008,-98.42359,458.78136592571485
40.88988,-98.42402,458.78664042987765
40.88975,-98.4243,458.7833414181652
40.88948,-98.42489,458.7999986912353
40.88903,-98.42589,458.80676062785113
40.88889,-98.42619,458.8141334142972
40.88872,-98.42657,458.82019940402296
40.88845,-98.42716,458.81827896019496
40.88787,-98.42843,458.8078778041899
40.88757,-98.4291,458.80302426175086
40.88744,-98.42937,458.8202118711852
40.88684,-98.43069,458.85378908554253
40.88657,-98.43129,458.87917024506635
40.88621,-98.43207,458.88176384554566
40.88599,-98.43256,458.87013239617465
40.88563,-98.43335,458.91355217558134
40.8855,-98.43362,458.9065263321848
40.88498,-98.43477,458.9285209388334
40.88451,-98.43578,458.93706470616803
40.88339,-98.43826,458.9572492138257
40.88322,-98.43862,458.9628497940806
40.88279,-98.43956,458.9881432200512
40.88238,-98.44047,458.9983198386459
40.8812,-98.44306,459.02260979181443
40.88052,-98.44454,459.0137202928437
40.88043,-98.44475,459.0097131372768
40.88033,-98.44495,459.00173271451683
40.8795,-98.44678,459.0641501870361
40.87932,-98.44717,459.07539927264366
40.8782,-98.44963,459.1301530810052
40.8781,-98.44984,459.14512936572737
40.87675,-98.45279,459.15552820196115
40.87569,-98.45512,459.22650596406714
40.87421,-98.45836,459.290342134767
40.87405,-98.4587,459.29025137761073
40.87322,-98.46053,459.3139824755186
40.87308,-98.46083,459.3252247464804
40.87277,-98.46151,459.31326810257053
40.87268,-98.46171,459.3118645596216
40.87241,-98.4623,459.3317164404142
40.87192,-98.46338,459.36496411543203
40.87167,-98.46391,459.37054758782017
40.87166,-98.46395,459.3709796975909
40.87156,-98.46415,459.3736884722371
40.87144,-98.46442,459.3790931970982
40.87141,-98.46449,459.38077182808354
40.8713,-98.46477,459.388234382251
40.87118,-98.46506,459.3944635307389
40.87099,-98.46553,459.4036742107105
40.8708,-98.46599,459.4069509525093
40.87065,-98.46634,459.39717312895885
40.87016,-98.46743,459.42300061640486
40.86967,-98.46849,459.44073989094966
40.86919,-98.46955,459.45152470251577
40.86866,-98.47072,459.48166014096444
40.86853,-98.47098,459.48597440578067
40.86834,-98.4714,459.4862027922189
40.86818,-98.47177,459.4860357164575
40.86801,-98.47212,459.4952099300487
40.86779,-98.47261,459.5063053107667
40.86736,-98.47347,459.5322192180068
40.86727,-98.47364,459.5356361202126
40.86694,-98.4743,459.5311068375588
40.86669,-98.47485,459.544848174661
40.8665,-98.47528,459.5467320928267
40.86622,-98.47586,459.54486902217764
40.86537,-98.47772,459.56793194682047
40.86496,-98.47859,459.58742689766177
40.86449,-98.47963,459.62138865606937
40.86368,-98.48142,459.66362913185185
40.86295,-98.48301,459.64427875254444
40.86255,-98.48389,459.6514671471626
40.86234,-98.48433,459.6372642733839
40.86207,-98.48493,459.65705939040555
40.86181,-98.48551,459.6800257952518
40.86179,-98.48554,459.68081687704256
40.86171,-98.48571,459.68153119263934
40.86152,-98.48612,459.6817363060673
40.86133,-98.48654,459.698134135753
40.86122,-98.48678,459.70464253810934
40.86115,-98.48693,459.70676973420507
40.86111,-98.48703,459.7100672183132
40.86088,-98.48752,459.7350178855051
40.86074,-98.48783,459.7288242539474
40.86033,-98.48872,459.74512445420424
40.86018,-98.48906,459.76188111933254
40.86002,-98.4894,459.7490057741383
40.85933,-98.49093,459.77298038974874
40.85898,-98.4917,459.77781558254065
40.85874,-98.49222,459.7805603026422
40.85615,-98.49789,This time is unavaliable
40.85483,-98.50078,This time is unavaliable
40.8543,-98.50191,This time is unavaliable
40.85366,-98.50333,This time is unavaliable
40.85324,-98.50425,This time is unavaliable
40.85307,-98.5046,This time is unavaliable
40.85243,-98.50603,This time is unavaliable
40.85196,-98.50704,This time is unavaliable
40.85171,-98.5076,This time is unavaliable
40.85135,-98.50837,This time is unavaliable
40.85053,-98.51017,This time is unavaliable
40.85004,-98.51123,This time is unavaliable
40.8498,-98.51174,This time is unavaliable
40.84959,-98.51222,This time is unavaliable
40.84911,-98.51325,This time is unavaliable
40.84899,-98.51352,This time is unavaliable
40.84864,-98.51428,This time is unavaliable
40.84836,-98.51491,This time is unavaliable
40.84801,-98.51567,This time is unavaliable
40.84762,-98.51653,This time is unavaliable
40.8472,-98.51745,This time is unavaliable
40.84698,-98.51792,This time is unavaliable
40.84628,-98.51946,This time is unavaliable
40.84531,-98.52158,This time is unavaliable
40.84468,-98.52295,This time is unavaliable
40.84406,-98.52429,This time is unavaliable
40.84389,-98.52466,This time is unavaliable
40.84374,-98.52498,This time is unavaliable
40.84358,-98.52536,This time is unavaliable
40.84335,-98.52584,This time is unavaliable
40.84311,-98.52639,This time is unavaliable
40.84292,-98.5268,This time is unavaliable
40.84248,-98.52775,This time is unavaliable
40.84202,-98.52877,This time is unavaliable
40.84179,-98.52927,This time is unavaliable
40.84165,-98.52958,This time is unavaliable
40.84147,-98.52997,This time is unavaliable
40.84124,-98.53046,This time is unavaliable
40.84092,-98.53117,This time is unavaliable
40.8408,-98.53146,This time is unavaliable
40.84072,-98.53164,This time is unavaliable
40.84055,-98.53205,This time is unavaliable
40.84039,-98.53247,This time is unavaliable
40.84018,-98.53301,This time is unavaliable
